,company,type,rating,reviewers,age,highly_ratedFOR,critically_ratedFOR
4715,EagleBurgmann,Industrial Machinery ,3.8,159 Reviews,140 years old,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
4716,Future Consumer,FMCG ,4.3,159 Reviews,28 years old,"Company Culture, Work Satisfaction, Work Life Balance",
4717,Blue Cross Laboratories,Pharma ,4.0,159 Reviews,44 years old,"Company Culture, Job Security, Work Satisfaction",Promotions / Appraisal
4718,Precision Camshafts,Auto Components ,3.4,159 Reviews,32 years old,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
4719,Impressico Business Solutions,IT Services & Consulting ,4.5,159 Reviews,16 years old,"Company Culture, Work Life Balance, Work Satisfaction",
4720,Prakash Industries,Metals & Mining ,3.7,159 Reviews,44 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Company Culture"
4721,Sun Direct TV,Broadcasting ,4.3,159 Reviews,17 years old,"Job Security, Work Life Balance, Work Satisfaction","Promotions / Appraisal, Salary & Benefits"
4722,Precision Camshafts,Auto Components ,3.4,159 Reviews,32 years old,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
4723,Ahana Systems & Solutions,IT Services & Consulting ,3.8,159 Reviews,17 years old,"Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
4724,Adglobal360,Marketing & Advertising ,3.5,159 Reviews,15 years old,Job Security,"Skill Development / Learning, Promotions / Appraisal, Salary & Benefits"
4725,Carrefour,Retail ,3.8,159 Reviews,65 years old,"Skill Development / Learning, Company Culture, Job Security",
4726,IREO,Real Estate ,4.2,159 Reviews,20 years old,"Work Life Balance, Company Culture, Job Security",
4727,Domino Printech,Printing & Publishing ,4.0,159 Reviews,28 years old,"Job Security, Salary & Benefits",
4728,EagleBurgmann,Industrial Machinery ,3.8,159 Reviews,140 years old,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
4729,Ami Polymer,Medical Equipment ,4.3,159 Reviews,28 years old,"Skill Development / Learning, Salary & Benefits, Company Culture",
4730,Nielsen Sports,Sports & Recreation ,4.0,159 Reviews,20 years old,"Company Culture, Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
4731,EXO Edge,BPO ,4.1,159 Reviews,7 years old,"Work Life Balance, Company Culture, Salary & Benefits",
4732,Lomos Archilabs,EdTech ,4.4,159 Reviews,,"Salary & Benefits, Company Culture, Skill Development / Learning",
4733,XenonStack,Emerging Technologies ,3.4,158 Reviews,12 years old,Skill Development / Learning,"Job Security, Work Life Balance"
4734,Jitm Skills,Education & Training ,3.7,158 Reviews,11 years old,Skill Development / Learning,"Job Security, Promotions / Appraisal, Salary & Benefits"
4735,Lifelong India,Petrochemicals ,4.0,158 Reviews,39 years old,"Job Security, Work Life Balance",Promotions / Appraisal
4736,Tata Memorial Centre,Healthcare ,4.3,158 Reviews,83 years old,"Skill Development / Learning, Work Satisfaction, Job Security",
4737,National Mineral Development Corporation,Metals & Mining ,4.4,158 Reviews,66 years old,"Work Life Balance, Skill Development / Learning, Work Satisfaction",
4738,Toshiba Software India,IT Services & Consulting ,3.7,158 Reviews,22 years old,Job Security,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
4739,Embee Software,Software Product ,3.8,158 Reviews,37 years old,"Promotions / Appraisal, Work Satisfaction",
4740,Margadarsi Chit Fund,Financial Services ,3.8,158 Reviews,62 years old,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
