author,published_at,updated_at,like_count,text
@hitesh52682,2022-08-02T10:25:14Z,2022-08-02T10:25:14Z,1,Itachi
@zebra471187,2022-07-26T03:30:11Z,2022-07-26T03:30:11Z,0,Sakurathose were people searching for hate groups Lol
@Afthabee,2022-07-17T17:51:42Z,2022-07-17T17:52:46Z,1,139 Almighty push 
@astroop5545,2022-07-15T21:12:31Z,2022-07-15T21:12:31Z,0,How the hell Sakura get to the top
@sujans214,2022-07-11T13:56:41Z,2022-07-11T13:56:41Z,0,1 Naruto 2 Itachi 3 Kakashi4 Obito5 Madara 6 Minato7 Jiraya
@samadiobrando,2022-07-04T13:10:01Z,2022-07-04T13:10:01Z,0,Wheres HashiramaThe God Of Shinobi
@crazygamer-qv5td3yc2r,2022-07-01T03:42:41Z,2022-07-01T03:42:41Z,0,Itachi is the best
@mariauchiwa1475,2022-06-29T19:32:39Z,2022-06-29T19:32:39Z,1,wtf itachiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
@valtherobrinpika2894,2022-06-24T08:53:44Z,2022-06-24T08:53:44Z,0,Naruto deserves his place even 1 st place he deserves
@sauravgupta9438,2022-06-14T03:41:32Z,2022-06-14T03:41:32Z,3,this video is based on google searches not on fan base you can check the description
@infernox708,2022-06-02T18:12:21Z,2022-06-02T18:12:21Z,1,I was just wondering when kakashi come on top but its ok 
@marilynjones5156,2022-05-30T23:30:09Z,2022-05-30T23:30:09Z,1,so basicaly no naruto its now itach and naruto
@bokuwatobi9365,2022-05-29T11:07:46Z,2022-05-29T11:07:46Z,1,Tobi is quite sad for might guy Tobi hadnt seen him anywhere he is so underrated 
@aruneesan8243,2022-05-22T15:11:43Z,2022-05-22T15:11:43Z,0,How accurate is this lol
@irfanalikhan1317,2022-05-16T06:40:45Z,2022-05-16T06:40:45Z,1,There is all fake
@wakeuptoreality9834,2022-05-05T13:07:57Z,2022-05-05T13:07:57Z,4,Glad to see Sasori on the list I thought hes one of the least popular characters because he died early but hes one of my favorites along with Kakashi
@robloxman505robloxman5,2022-05-04T01:24:36Z,2022-05-04T01:24:36Z,0,Theres is no fucking way that Sakura was at top 317
@abishekks1999,2022-04-03T05:14:56Z,2022-04-03T05:14:56Z,2,Itachi 
@hatakekakashi9133,2022-03-31T08:45:35Z,2022-03-31T08:45:35Z,1,Kakashi Itachi deserved
@maheshchandraverma7918,2022-03-29T08:47:01Z,2022-03-29T08:47:01Z,1,Naruto and sasuke fighting for first place Itachi hold my mangekyou sharingan
@typoseven6418,2022-03-28T16:43:01Z,2022-03-28T16:43:01Z,0,Not valid
@mthink6719,2022-03-24T13:25:57Z,2022-03-24T13:25:57Z,2,itachi and kakashi are by far the faovourite characters in actual
@blac0pxd445,2022-03-17T10:54:05Z,2022-03-17T10:54:05Z,1,And where is MASARA UCHIHA
@RandomPerson_frfr,2022-03-15T22:00:07Z,2022-03-15T22:00:07Z,2,Lmao Madara being Madara in here too
@chiraag8397,2022-03-15T05:41:07Z,2022-03-15T05:41:07Z,0,Some birdie told me Itachi uchiha was the most popular Naruto character turns out it was wrong
@999veyron,2022-03-14T08:39:17Z,2022-03-14T08:39:17Z,0,We all know why tsunade was popular
@JafarKhan-wl9re,2022-03-13T14:43:14Z,2022-03-13T14:43:14Z,0,Wait wtf sakura is doing in the list 
@11_sohamvaidya53,2022-03-12T11:49:44Z,2022-03-12T11:49:44Z,7,Sakura remain at first place for 6 years continuously 
@oldmanlukeskywalker5374,2022-03-09T22:41:56Z,2022-03-09T22:41:56Z,0,Im genuinely so happy that behind all the hate Sakura rarely ever left the top 5 and she ruled the list in 2017 Dont get me wrong shes my least favorite of the trio but I truly do like her and hate how much hate she gets sometimes over the stupidest stuff
@assholable,2022-03-02T00:15:00Z,2022-03-02T00:15:00Z,2,Gaaras sheer supremacy near the beginning was so good to watch
@lsdxsaurabh2798,2022-03-01T14:38:33Z,2022-03-01T14:38:33Z,0,WTF trash used be most popular 
@satwikmishra9189,2022-02-27T20:59:08Z,2022-02-27T20:59:08Z,0,Shisui be like noooooooooo
@dinushkamahawedage3186,2022-02-25T15:31:44Z,2022-02-25T15:31:44Z,5,No matter what darkness and contradictions lies within the village he always always will be the one and only Itachi Uchiha of the Leaf The Hokage we never had 
@tenxgaming6874,2022-02-24T15:34:56Z,2022-02-24T15:34:56Z,5,Bro Itachi is always no 1 What he did cannot be done by anyone Hats off to Itachi uchiha
@whiteyaksha8395,2022-02-22T08:51:57Z,2022-02-22T08:51:57Z,0,Gaara domination in the first half
@solomonrampenga8028,2022-02-19T07:20:29Z,2022-02-19T07:20:29Z,2,I think Sakura is the most popular female
@MONKEYDFAMILY99,2022-02-17T13:24:16Z,2022-02-17T13:24:16Z,2,I am sad that obito had better flashback and most sad ending for him even though he is in not top5 i love him most
@uchihamadara8667,2022-02-15T18:20:42Z,2022-02-15T18:20:42Z,3,I think itachi uchiha is the undisputed king in popularity wise
@user-gd5rs7ej9l,2022-02-12T07:40:08Z,2022-02-12T07:40:08Z,0,It hurts me that Kakashi has never been in first place Its very unexpected
@jessiegaming1931,2022-02-07T04:03:37Z,2022-02-07T04:03:37Z,0,Why yall hating on a fictional character its not sakuras fault that she is useless and annoying in shippudenhaysttt
@bruhhhx1415,2022-02-04T21:06:06Z,2022-02-04T21:06:06Z,0,Omg Neji 
@shauryabhise9505,2022-02-04T08:42:02Z,2022-02-04T08:42:02Z,0,ITACHI 
@artherfleck7383,2022-01-29T10:35:21Z,2022-01-29T10:35:21Z,1,In 2017 Feb sakura was the most popular character in naruto Even above naruto
@sic8124,2022-01-18T04:53:46Z,2022-01-18T04:53:46Z,1,Itachi number 1
@jackfloc0,2022-01-16T10:34:56Z,2022-01-16T10:34:56Z,0,I am just thinking is kakashi famous
@cedriclopes4737,2022-01-12T20:34:50Z,2022-01-12T20:34:50Z,0,people who dont know damn sakura is popular must be a loved character people who know when is she going to die I cant stop hating her
@animehub846,2022-01-10T20:13:52Z,2022-01-10T20:13:52Z,4,disadvantages of having two popular names obito and tobiotherwise i dont see any reason of obito being so low in the list
@kartikashekhawat2124,2022-01-08T10:59:49Z,2022-01-08T11:00:12Z,1,pain and sasuke are just wow
@segaraciptaperdana3572,2022-01-07T16:25:13Z,2022-01-07T16:25:13Z,0,I swear theg forgot guy even existed
@nhaphuongbui7163,2022-01-06T15:49:41Z,2022-01-06T15:49:41Z,0,OMG SAKURA MAKE ME SHOCKED 3
@ace5768,2022-01-02T18:25:44Z,2022-01-02T18:25:44Z,0,So Sasuke is more popular than Naruto
@GagandeepSingh-fw8hg,2022-01-02T17:12:20Z,2022-01-02T17:12:20Z,1,My man itachi 
@sachinkumarsingh3859,2021-12-25T15:38:44Z,2021-12-25T15:38:44Z,1,I guess the people who never know about anime They have once heard 2 names Naruto and ItachiI SWEAR
@tenzindamdul9208,2021-12-24T11:18:08Z,2021-12-24T11:18:08Z,1,Dudeeeee I thought Itachi was dominating and at the end of the show I realise its sasuke
@satorugojo4559,2021-12-21T09:26:51Z,2021-12-21T09:26:51Z,1,Sakura was supposed to be the most hated one How did she remained at the top 
