"addressCity","addressState","price","statusType","statusText"
"Los Angeles","CA","$1,125,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$579,000","FOR_SALE","Condo for sale"
"Los Angeles","CA","$699,000","FOR_SALE","House for sale"
"Los Angeles","CA","$1,649,000","FOR_SALE","House for sale"
"Los Angeles","CA","$1,399,000","FOR_SALE","House for sale"
"Los Angeles","CA","$849,000","FOR_SALE","House for sale"
"Los Angeles","CA","$899,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$598,000","FOR_SALE","House for sale"
"Los Angeles","CA","$1,200,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$699,000","FOR_SALE","House for sale"
"Los Angeles","CA","$600,000","FOR_SALE","House for sale"
"Gardena","CA","$529,000","FOR_SALE","Townhouse for sale"
"Wilmington","CA","$650,000","FOR_SALE","House for sale"
"Harbor City","CA","$824,900","FOR_SALE","House for sale"
"Harbor City","CA","$869,000","FOR_SALE","House for sale"
"San Pedro","CA","$799,000","FOR_SALE","Condo for sale"
"San Pedro","CA","$975,000","FOR_SALE","House for sale"
"San Pedro","CA","$860,000","FOR_SALE","Condo for sale"
"Los Angeles","CA","$890,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$668,000","FOR_SALE","House for sale"
"Los Angeles","CA","$985,000","FOR_SALE","Multi-family home for sale"
"Winnetka","CA","$499,900","FOR_SALE","Townhouse for sale"
"Reseda","CA","$759,000","FOR_SALE","House for sale"
"Encino","CA","$399,000","FOR_SALE","Condo for sale"
"Tarzana","CA","$2,699,000","FOR_SALE","House for sale"
"Woodland Hills","CA","$1,899,000","FOR_SALE","House for sale"
"Granada Hills","CA","$945,000","FOR_SALE","House for sale"
"Granada Hills","CA","$1,499,999","FOR_SALE","House for sale"
"Granada Hills","CA","$995,000","FOR_SALE","House for sale"
"Porter Ranch","CA","$1,700,000","FOR_SALE","House for sale"
"Los Angeles","CA","$3,500,000","FOR_SALE","Foreclosure"
"Pacoima","CA","$499,999","FOR_SALE","Condo for sale"
